sample_index,valid_count_masked,mae_masked_full,mae_unmasked_full,mae_masked_inv_disentangle,mae_unmasked_inv_disentangle,mae_masked_inv_no_env,mae_unmasked_inv_no_env,gain_full_vs_inv_disentangle,gain_full_vs_inv_no_env,gain_inv_disentangle_vs_inv_no_env,best_model_masked,best_margin_masked
122,155,9.667242505473475,71.79029636859894,12.240728550572548,65.22149059772491,14.183293508714245,22.25205030441284,2.5734860450990737,4.51605100324077,1.9425649581416966,full,2.5734860450990737
123,136,6.377718055949492,70.1075171327591,7.583838014041676,63.26695376873016,7.285791144651525,19.372202954292298,1.2061199580921844,0.9080730887020332,-0.29804686939015124,full,0.9080730887020332
124,125,6.299600952148437,70.45969450950622,5.715209701538086,62.863516855239865,5.076791168212891,18.76703297138214,-0.5843912506103512,-1.2228097839355465,-0.6384185333251953,inv_no_env,0.6384185333251953
125,109,7.250562142888341,70.54053523063659,7.243922469812795,63.22794497966766,7.056125255899691,19.333511300086975,-0.00663967307554536,-0.19443688698864925,-0.1877972139131039,inv_no_env,0.1877972139131039
126,103,6.935950307012762,72.13389810085296,8.413480036467025,63.41029150485993,7.598169474925809,19.38649706363678,1.4775297294542629,0.6622191679130474,-0.8153105615412155,full,0.6622191679130474
127,115,9.0617919921875,75.3165163230896,9.849583484815515,63.94998037815094,9.918067019918691,20.050936880111696,0.7877914926280152,0.8562750277311917,0.06848353510317651,full,0.7877914926280152
128,114,8.639429125869484,78.51508873939514,11.778016207510966,65.0992327451706,10.77714749386436,20.394463205337523,3.1385870816414823,2.137718367994877,-1.0008687136466055,full,2.137718367994877
129,120,11.996143547693888,80.40386392593383,11.176393349965414,65.2808347606659,10.136362266540527,20.267635445594788,-0.8197501977284745,-1.8597812811533618,-1.0400310834248874,inv_no_env,1.0400310834248874
130,129,11.547588732815528,80.14775383472443,13.93563399203988,66.32977831840515,14.545820206634758,21.763292570114135,2.388045259224352,2.9982314738192297,0.6101862145948775,full,2.388045259224352
131,132,12.425877614454789,79.19022407531739,12.680655045942826,65.88949616909026,14.298966682318484,21.573741946220398,0.2547774314880371,1.8730890678636953,1.6183116363756582,full,0.2547774314880371
132,131,9.069448864186993,76.41385009765625,11.067768795799664,65.11816138267517,13.7279880465442,21.342910022735595,1.99831993161267,4.658539182357206,2.660219250744536,full,1.99831993161267
133,145,13.852520844032025,77.27461137294769,12.780035571394295,65.24133602142334,13.828952197370858,21.74564699649811,-1.0724852726377296,-0.023568646661166426,1.0489166259765632,inv_disentangle,1.0489166259765632
134,142,11.129666328430176,73.38848578453064,12.073218426234286,64.27378119468689,15.339547694568903,22.274541745185854,0.9435520978041101,4.2098813661387275,3.2663292683346175,full,0.9435520978041101
135,137,12.560147543023103,73.15404757022857,12.608410703004711,64.06082656383515,16.991055412014035,22.683120942115785,0.048263159981608794,4.430907868990932,4.382644709009323,full,0.048263159981608794
136,134,12.001552909167845,72.08021055698394,15.572782687286832,64.59246989250182,23.283336041578607,24.662242617607117,3.571229778118987,11.281783132410762,7.7105533542917755,full,3.571229778118987
137,136,12.809680602129768,72.45933766365052,14.924020991605872,63.842290329933164,21.994481872109805,24.266045627593993,2.1143403894761033,9.184801269980037,7.0704608805039335,full,2.1143403894761033
138,141,11.885004882271408,69.57068926811218,16.34075118802118,64.01015100955964,22.116324904962635,24.534046154022217,4.455746305749772,10.231320022691227,5.775573716941455,full,4.455746305749772
139,142,11.785769690930003,66.67817333221436,14.026808510363942,62.88332823753357,19.6978544450142,23.687215085029603,2.241038819433939,7.912084754084198,5.671045934650259,full,2.241038819433939
140,147,14.657083212923842,66.08659219741821,14.581206626632587,62.98731520652771,14.239473044466811,21.901036114692687,-0.07587658629125471,-0.41761016845703125,-0.34173358216577654,inv_no_env,0.34173358216577654
