sample_index,base_mae,full_mae,delta_base_minus_full,base_mae_masked,full_mae_masked,delta_masked_base_minus_full,metric_valid_count,env_delta_abs_mean,env_delta_signed_mean,label,label_masked
131,82.74549865722656,79.19022369384766,3.5552749633789062,24.830455433238637,12.425877426609848,12.404578006628789,132,5.143394947052002,5.080592155456543,env_helps,env_helps
132,80.4981460571289,76.41384887695312,4.084297180175781,23.846787780295802,9.06944962130248,14.777338158993322,131,6.349426746368408,6.322753429412842,env_helps,env_helps
133,82.8487319946289,77.27461242675781,5.574119567871094,34.43417295258621,13.852520541487069,20.581652411099142,145,10.804254531860352,10.754737854003906,env_helps,env_helps
134,78.6664810180664,73.38848876953125,5.277992248535156,30.4468564315581,11.129666180677816,19.317190250880284,142,9.369811058044434,9.369115829467773,env_helps,env_helps
135,80.5915298461914,73.15404510498047,7.4374847412109375,40.1103052292427,12.560147696167883,27.550157533074817,137,12.712372779846191,12.653253555297852,env_helps,env_helps
136,78.68933868408203,72.08020782470703,6.609130859375,38.555153917910445,12.00155320808069,26.553600709829755,134,13.1699857711792,13.165633201599121,env_helps,env_helps
137,79.69418334960938,72.45934295654297,7.234840393066406,46.128335391773895,12.809681611902574,33.31865377987132,136,17.72710418701172,17.72710418701172,env_helps,env_helps
138,76.39557647705078,69.57068634033203,6.82489013671875,41.58409519060284,11.885004571143616,29.69909061945922,141,16.3624267578125,16.353456497192383,env_helps,env_helps
139,74.55958557128906,66.67817687988281,7.88140869140625,43.74980399977993,11.785770040162852,31.964033959617076,142,16.985519409179688,16.9788761138916,env_helps,env_helps
140,74.08342742919922,66.08659362792969,7.996833801269531,45.47764203337585,14.657083731930273,30.82055830144558,147,16.16753387451172,16.167198181152344,env_helps,env_helps
141,75.85411834716797,67.10151672363281,8.752601623535156,54.8917620465472,20.957785866477273,33.933976180069926,143,16.519617080688477,16.5120792388916,env_helps,env_helps
142,71.60643005371094,63.355525970458984,8.250904083251953,45.12459136746454,14.623822584219859,30.50076878324468,141,14.647900581359863,14.629934310913086,env_helps,env_helps
143,68.21973419189453,62.01237487792969,6.207359313964844,37.26187240493881,14.94789219569493,22.313980209243883,143,13.96357536315918,13.852883338928223,env_helps,env_helps
144,65.94351196289062,60.950401306152344,4.993110656738281,32.75840414005474,14.187916999315693,18.57048714073905,137,11.893216133117676,11.866235733032227,env_helps,env_helps
145,64.47129821777344,61.813114166259766,2.658184051513672,27.815632841012775,15.789545435104927,12.026087405907848,137,12.421863555908203,12.420085906982422,env_helps,env_helps
146,63.95463943481445,61.658084869384766,2.2965545654296875,24.48358020643248,13.95352239678376,10.530057809648723,137,10.57579231262207,10.57579231262207,env_helps,env_helps
147,65.0391845703125,62.45378875732422,2.5853958129882812,24.672467912946427,13.772438267299107,10.90002964564732,140,9.628264427185059,9.628264427185059,env_helps,env_helps
148,68.06593322753906,64.3956527709961,3.6702804565429688,29.311760700924296,12.844994773327464,16.466765927596832,142,11.775369644165039,11.76283073425293,env_helps,env_helps
149,72.46729278564453,65.84304809570312,6.624244689941406,35.676088075380065,11.99087112014358,23.685216955236484,148,12.740447044372559,12.721416473388672,env_helps,env_helps
150,76.40181732177734,68.46624755859375,7.935569763183594,44.63405147215136,15.899510390093537,28.734541082057824,147,15.36197280883789,15.292366027832031,env_helps,env_helps
151,76.88350677490234,68.47010803222656,8.413398742675781,43.798119329637096,13.399491242439517,30.39862808719758,155,17.946504592895508,17.91618537902832,env_helps,env_helps
152,76.36843872070312,68.9526596069336,7.415779113769531,44.86738725142045,16.72718077820617,28.140206473214285,154,18.77166175842285,18.77166175842285,env_helps,env_helps
153,74.68545532226562,68.71772766113281,5.9677276611328125,45.49299910261824,23.512706859691722,21.98029224292652,148,16.148826599121094,16.148826599121094,env_helps,env_helps
154,69.73452758789062,61.99794006347656,7.7365875244140625,34.98500279017857,13.11720810927354,21.86779468090503,154,10.904439926147461,10.904439926147461,env_helps,env_helps
155,67.809814453125,60.43019104003906,7.3796234130859375,32.11136755143634,12.36753551412073,19.743832037315606,161,10.301252365112305,10.297194480895996,env_helps,env_helps
156,68.10289764404297,60.44221496582031,7.660682678222656,32.70005744485294,12.48151424632353,20.21854319852941,170,11.455999374389648,11.455999374389648,env_helps,env_helps
157,67.93093872070312,60.088966369628906,7.841972351074219,32.40911115679825,10.798125685307017,21.61098547149123,171,12.895634651184082,12.895634651184082,env_helps,env_helps
158,69.15660858154297,61.69484329223633,7.461765289306641,33.30652815572331,12.165704277124298,21.140823878599015,178,14.810253143310547,14.810253143310547,env_helps,env_helps
159,70.43585968017578,61.98429870605469,8.451560974121094,35.96199873554913,12.633378398211706,23.328620337337426,173,14.632719993591309,14.632719993591309,env_helps,env_helps
160,71.91228485107422,64.10643768310547,7.80584716796875,34.751302083333336,14.125192110655737,20.626109972677597,183,15.122542381286621,15.122542381286621,env_helps,env_helps
161,72.815673828125,64.23994445800781,8.575729370117188,35.62530417520492,14.260020438439208,21.36528373676571,183,14.513060569763184,14.513060569763184,env_helps,env_helps
162,72.36888885498047,63.963008880615234,8.405879974365234,34.123099378360216,14.913391769573252,19.209707608786964,186,12.862879753112793,12.849449157714844,env_helps,env_helps
163,71.63032531738281,63.33802795410156,8.29229736328125,32.04634060329861,13.29220920138889,18.75413140190972,180,11.410226821899414,11.367270469665527,env_helps,env_helps
164,71.40261840820312,63.229774475097656,8.172843933105469,29.81865072513812,11.587906811118785,18.230743914019335,181,10.411979675292969,10.373669624328613,env_helps,env_helps
165,72.11731719970703,64.19953155517578,7.91778564453125,29.497167429212706,11.693281142092541,17.803886287120164,181,9.844297409057617,9.829123497009277,env_helps,env_helps
166,72.85176086425781,65.19099426269531,7.6607666015625,29.38588781524123,11.147076166164108,18.23881164907712,171,8.87076187133789,8.870567321777344,env_helps,env_helps
167,73.3110122680664,66.55579376220703,6.755218505859375,27.805734234655688,11.257458715381736,16.54827551927395,167,7.8146843910217285,7.8146843910217285,env_helps,env_helps
168,72.95799255371094,67.48876953125,5.4692230224609375,23.290346827651515,9.612566583806819,13.677780243844696,165,6.397219181060791,6.390984535217285,env_helps,env_helps
169,73.16973876953125,68.67304992675781,4.4966888427734375,21.601416326632165,9.87840086335589,11.723015463276274,157,4.9053215980529785,4.904036521911621,env_helps,env_helps
170,73.07968139648438,70.42589569091797,2.6537857055664062,17.56904361122533,10.304751747532896,7.264291863692433,152,3.3328239917755127,3.328146457672119,env_helps,env_helps
171,71.27263641357422,70.95811462402344,0.31452178955078125,8.19905283753301,7.313087141010123,0.885965696522887,142,0.4097934067249298,0.4097934067249298,env_helps,env_helps
172,72.71251678466797,72.71251678466797,0.0,7.331638023501537,7.331638023501537,0.0,122,0.0,0.0,env_neutral,env_neutral
173,73.75336456298828,73.75336456298828,0.0,6.020075284517729,6.020075284517729,0.0,104,0.0,0.0,env_neutral,env_neutral
174,77.06063079833984,77.06063079833984,0.0,5.577994914970013,5.577994914970013,0.0,99,0.0,0.0,env_neutral,env_neutral
