sample_index,full_mae_seed2024,inv_mae_seed2024,delta_seed2024,full_mae_seed2025,inv_mae_seed2025,delta_seed2025,full_mae_seed2026,inv_mae_seed2026,delta_seed2026,mean_full_mae,mean_inv_mae,mean_delta,full_win_count,inv_win_count,consistency_label
85,57.308467864990234,47.46702194213867,-9.841445922851562,58.67421340942383,58.26225662231445,-0.411956787109375,63.471519470214844,60.604373931884766,-2.867145538330078,59.818066914876304,55.44455083211263,-4.373516082763672,0,3,InvOnly consistently better
86,53.890018463134766,42.05735778808594,-11.832660675048828,53.85978698730469,53.89899444580078,0.03920745849609375,57.46200180053711,54.908607482910156,-2.553394317626953,55.07060241699219,50.28831990559896,-4.7822825113932295,1,2,Mixed
87,52.205440521240234,40.936729431152344,-11.26871109008789,52.522335052490234,52.4013786315918,-0.1209564208984375,55.08256530761719,52.79075622558594,-2.29180908203125,53.27011362711588,48.70962142944336,-4.560492197672526,0,3,InvOnly consistently better
88,50.48847579956055,37.209468841552734,-13.279006958007812,50.693634033203125,50.80013656616211,0.10650253295898438,51.93394470214844,50.186241149902344,-1.7477035522460938,51.0386848449707,46.0652821858724,-4.973402659098308,1,2,Mixed
89,49.88734436035156,38.61223220825195,-11.27511215209961,50.482460021972656,50.51872634887695,0.036266326904296875,53.203094482421875,50.994598388671875,-2.20849609375,51.190966288248696,46.708518981933594,-4.4824473063151045,1,2,Mixed
90,50.777889251708984,38.335899353027344,-12.44198989868164,50.24225616455078,50.305477142333984,0.06322097778320312,52.947471618652344,50.837867736816406,-2.1096038818359375,51.32253901163737,46.493081410725914,-4.829457600911458,1,2,Mixed
91,50.068885803222656,37.78398513793945,-12.284900665283203,50.19703674316406,50.289737701416016,0.09270095825195312,52.002437591552734,49.913475036621094,-2.0889625549316406,50.75612004597982,45.99573262532552,-4.760387420654297,1,2,Mixed
92,48.82987976074219,36.24753952026367,-12.582340240478516,49.16249084472656,49.22758483886719,0.065093994140625,50.08147430419922,48.347442626953125,-1.7340316772460938,49.357948303222656,44.607522328694664,-4.750425974527995,1,2,Mixed
93,48.30384826660156,36.35207748413086,-11.951770782470703,48.515506744384766,48.59657287597656,0.08106613159179688,49.929718017578125,47.954078674316406,-1.9756393432617188,48.91635767618815,44.300909678141274,-4.615447998046875,1,2,Mixed
94,48.22114181518555,37.0507926940918,-11.17034912109375,48.710243225097656,48.82502746582031,0.11478424072265625,51.017757415771484,48.940303802490234,-2.07745361328125,49.3163808186849,44.938707987467446,-4.377672831217448,1,2,Mixed
95,49.0705680847168,37.81974792480469,-11.25082015991211,49.95094680786133,49.795372009277344,-0.15557479858398438,52.070919036865234,50.23957824707031,-1.8313407897949219,50.36414464314779,45.95156606038412,-4.412578582763672,0,3,InvOnly consistently better
96,49.223262786865234,38.487998962402344,-10.73526382446289,50.32247543334961,50.126346588134766,-0.19612884521484375,52.119972229003906,50.157135009765625,-1.9628372192382812,50.55523681640625,46.25716018676758,-4.298076629638672,0,3,InvOnly consistently better
97,49.03506851196289,38.588436126708984,-10.446632385253906,51.295475006103516,51.26065444946289,-0.034820556640625,50.948055267333984,49.246734619140625,-1.7013206481933594,50.42619959513346,46.365275065104164,-4.060924530029297,0,3,InvOnly consistently better
98,50.336544036865234,40.41815948486328,-9.918384552001953,54.429386138916016,54.54872512817383,0.1193389892578125,52.538246154785156,51.0664176940918,-1.4718284606933594,52.43472544352213,48.67776743570963,-3.7569580078125,1,2,Mixed
99,50.97596740722656,41.5896110534668,-9.386356353759766,56.721981048583984,56.81133270263672,0.08935165405273438,54.19923782348633,52.9577522277832,-1.241485595703125,53.965728759765625,50.45289866129557,-3.5128300984700522,1,2,Mixed
100,47.793212890625,38.4732780456543,-9.319934844970703,52.4306755065918,52.342655181884766,-0.08802032470703125,51.94126892089844,50.237606048583984,-1.7036628723144531,50.721719106038414,47.01784642537435,-3.7038726806640625,0,3,InvOnly consistently better
101,50.28168487548828,40.344818115234375,-9.936866760253906,51.26081466674805,51.0942268371582,-0.16658782958984375,53.82182312011719,51.9277229309082,-1.8941001892089844,51.788107554117836,47.78892262776693,-3.9991849263509116,0,3,InvOnly consistently better
102,56.038387298583984,46.60740280151367,-9.430984497070312,54.8569450378418,54.4032096862793,-0.4537353515625,58.09587478637695,56.2952880859375,-1.8005867004394531,56.33040237426758,52.43530019124349,-3.8951021830240884,0,3,InvOnly consistently better
103,62.858238220214844,53.37506866455078,-9.483169555664062,60.205379486083984,59.79232406616211,-0.413055419921875,63.22201156616211,61.5067253112793,-1.7152862548828125,62.09520975748698,58.2247060139974,-3.8705037434895835,0,3,InvOnly consistently better
104,66.43984985351562,57.08780288696289,-9.352046966552734,63.39936828613281,62.962623596191406,-0.43674468994140625,66.36414337158203,64.80294799804688,-1.5611953735351562,65.40112050374348,61.617791493733726,-3.7833290100097656,0,3,InvOnly consistently better
105,67.09091186523438,57.821632385253906,-9.269279479980469,64.45305633544922,64.13355255126953,-0.3195037841796875,67.13174438476562,65.4771957397461,-1.6545486450195312,66.22523752848308,62.47746022542318,-3.747777303059896,0,3,InvOnly consistently better
106,64.96898651123047,55.398929595947266,-9.570056915283203,62.54203796386719,62.13148498535156,-0.410552978515625,65.02803802490234,63.225059509277344,-1.802978515625,64.1796875,60.251824696858726,-3.927862803141276,0,3,InvOnly consistently better
107,62.81084442138672,52.4520378112793,-10.358806610107422,60.30207824707031,59.984947204589844,-0.31713104248046875,61.738975524902344,60.01646423339844,-1.7225112915039062,61.61729939778646,57.484483083089195,-4.132816314697266,0,3,InvOnly consistently better
108,61.19786071777344,50.71001052856445,-10.487850189208984,59.212677001953125,58.84416961669922,-0.36850738525390625,60.382869720458984,58.841487884521484,-1.5413818359375,60.264469146728516,56.13188934326172,-4.132579803466797,0,3,InvOnly consistently better
109,59.85469055175781,49.340145111083984,-10.514545440673828,58.236175537109375,57.839324951171875,-0.3968505859375,58.9465446472168,57.30712890625,-1.6394157409667969,59.01247024536133,54.82886632283529,-4.183603922526042,0,3,InvOnly consistently better
110,59.810089111328125,50.298500061035156,-9.511589050292969,59.42845153808594,58.897178649902344,-0.5312728881835938,60.3258171081543,58.83883285522461,-1.4869842529296875,59.85478591918945,56.01150385538737,-3.8432820638020835,0,3,InvOnly consistently better
111,59.838531494140625,50.70875549316406,-9.129776000976562,59.937931060791016,59.23788070678711,-0.7000503540039062,61.17864227294922,59.41865158081055,-1.7599906921386719,60.31836827596029,56.45509592692057,-3.8632723490397134,0,3,InvOnly consistently better
112,58.482765197753906,50.570526123046875,-7.912239074707031,60.40326690673828,59.547245025634766,-0.8560218811035156,62.38898468017578,60.154571533203125,-2.2344131469726562,60.42500559488932,56.75744756062826,-3.667558034261068,0,3,InvOnly consistently better
113,57.88787078857422,51.515987396240234,-6.371883392333984,62.227352142333984,61.21786117553711,-1.009490966796875,64.45748138427734,62.0343132019043,-2.423168182373047,61.524234771728516,58.25605392456055,-3.2681808471679688,0,3,InvOnly consistently better
114,57.6198844909668,52.188804626464844,-5.431079864501953,64.05964660644531,62.683712005615234,-1.3759346008300781,66.93656158447266,64.11771392822266,-2.81884765625,62.872030893961586,59.66341018676758,-3.2086207071940103,0,3,InvOnly consistently better
